N, comparacoes, atribuicoes, tempo, tipo de array
10, 90, 51, 7e-06, ListAmOrd
100, 9900, 591, 7.6e-05, ListAmOrd
1000, 999000, 5991, 0.005645, ListAmOrd
10000, 99990000, 59991, 0.373119, ListAmOrd
100000, 1409965408, 599991, 38.7061, ListAmOrd
1000000, -728379968, 5999991, 4059.27, ListAmOrd
