N, comparacoes, atribuicoes, tempo, tipo de array
10, 9, 0, 3e-06, ListAOrd
100, 99, 0, 4e-06, ListAOrd
1000, 999, 0, 7e-06, ListAOrd
10000, 9999, 0, 5.4e-05, ListAOrd
100000, 99999, 0, 0.000455, ListAOrd
1000000, 999999, 0, 0.004357, ListAOrd
