N, comparacoes, atribuicoes, tempo, tipo de array
10, 72, 69, 6e-06, ListRO
100, 8514, 7026, 0.000206, ListRO
1000, 967032, 787449, 0.022295, ListRO
10000, 97940205, 75075363, 2.08304, ListRO
100000, 1351865989, -1106540906, 221.925, ListRO
