N, comparacoes, atribuicoes, tempo, tipo de array
10, 29, 63, 2.3e-05, ListRO
100, 582, 852, 9.2e-05, ListRO
1000, 9954, 10674, 0.001017, ListRO
10000, 133681, 130830, 0.008313, ListRO
100000, 1816201, 1528554, 0.051224, ListRO
1000000, 22314713, 17559420, 0.603039, ListRO
