N, comparacoes, atribuicoes, tempo, tipo de array
10,32,73,"0,000004", ListRO
100,2441,4981, 0.000108, ListRO
1000,263482,527963, 0.004855, ListRO
10000,25035120,50080239, 0.554617, ListRO
100000,2494564561,4989229121, 59.8434, ListRO
1000000,249742957745,499486915489, 5859.11, ListRO
